Age,Gender,Marital Status,Education Level,Employment Status,Credit Utilization Ratio,Payment History,Number of Credit Accounts,Loan Amount,Interest Rate,Loan Term,Type of Loan
60,Male,Married,Master,Employed,0.22,2685,2,4675000,2.65,48,Personal Loan
25,Male,Married,High School,Unemployed,0.2,2371,9,3619000,5.19,60,Auto Loan
30,Female,Single,Master,Employed,0.22,2771,6,957000,2.76,12,Auto Loan
58,Female,Married,PhD,Unemployed,0.12,1371,2,4731000,6.57,60,Auto Loan
32,Male,Married,Bachelor,Self-Employed,0.99,828,2,3289000,6.28,36,Personal Loan
42,Male,Divorced,Master,Unemployed,0.94,2342,2,1536000,11.15,24,Personal Loan
44,Female,Divorced,Bachelor,Unemployed,0.32,2800,1,2021000,16.61,36,Auto Loan
24,Male,Divorced,Master,Employed,0.66,1428,8,1298000,6.03,24,Home Loan
54,Female,Divorced,PhD,Unemployed,0.4,800,3,4374000,10.38,12,Personal Loan
60,Male,Divorced,PhD,Unemployed,0.06,1371,10,4026000,11.05,60,Personal Loan
27,Female,Divorced,Master,Employed,0.29,571,8,127000,19.12,36,Home Loan
52,Male,Divorced,Master,Unemployed,0.51,714,3,3237000,15.49,60,Home Loan
58,Female,Single,High School,Employed,0.93,1114,4,586000,5.58,60,Personal Loan
51,Male,Divorced,Bachelor,Employed,0.66,2000,3,2323000,11.03,60,Auto Loan
54,Male,Divorced,Master,Self-Employed,1,2371,6,3775000,18.09,48,Personal Loan
34,Male,Single,High School,Unemployed,0.55,2142,4,160000,2.35,12,Personal Loan
22,Female,Married,Bachelor,Self-Employed,0.67,771,9,1210000,14.74,60,Home Loan
35,Female,Single,Bachelor,Employed,0.1,1571,6,3653000,8.81,12,Home Loan
61,Male,Married,PhD,Unemployed,0.34,371,4,1707000,4.61,48,Personal Loan
31,Female,Single,Bachelor,Employed,0.44,2000,2,524000,13.39,60,Personal Loan
35,Male,Single,PhD,Self-Employed,0.21,1457,1,1481000,8.2,48,Auto Loan
38,Female,Divorced,PhD,Employed,0.19,771,1,4959000,14.98,12,Home Loan
23,Male,Divorced,PhD,Unemployed,0.92,1914,3,577000,19.25,12,Personal Loan
58,Male,Divorced,Bachelor,Self-Employed,0.12,2057,4,4956000,12.3,60,Personal Loan
62,Female,Single,Bachelor,Unemployed,0.72,857,5,3420000,3.49,36,Auto Loan
24,Male,Single,High School,Employed,0.54,1828,5,1211000,18.73,12,Personal Loan
38,Male,Single,Master,Unemployed,0.98,2371,9,166000,13.69,60,Auto Loan
26,Male,Single,High School,Employed,0.74,542,5,2464000,12.49,36,Personal Loan
60,Female,Divorced,PhD,Self-Employed,0.91,171,2,3653000,16.76,12,Personal Loan
28,Female,Married,PhD,Unemployed,0.71,2028,1,1038000,2.43,24,Home Loan
43,Male,Single,Bachelor,Employed,0.31,142,6,1862000,13.96,12,Auto Loan
46,Male,Married,Bachelor,Employed,0.88,85,3,2887000,15.87,48,Home Loan
35,Female,Married,High School,Self-Employed,0.87,1714,4,1774000,16.52,48,Auto Loan
34,Male,Married,Bachelor,Self-Employed,0.33,228,5,3046000,13.19,48,Home Loan
41,Male,Married,Master,Employed,0.58,942,1,1009000,12.33,36,Home Loan
47,Male,Single,Bachelor,Self-Employed,0.04,1571,1,4461000,18.59,60,Home Loan
62,Male,Single,PhD,Employed,0.95,1200,10,2733000,13.6,12,Home Loan
52,Female,Divorced,PhD,Self-Employed,0.4,1057,9,1168000,4.64,48,Home Loan
31,Female,Single,High School,Self-Employed,0.29,1571,10,2803000,9.83,48,Home Loan
52,Female,Divorced,Bachelor,Unemployed,0.08,1857,10,2912000,2.77,24,Home Loan
34,Male,Married,High School,Employed,0.24,1714,10,711000,9.65,60,Personal Loan
64,Female,Single,PhD,Employed,0.15,2514,1,994000,15.79,24,Personal Loan
53,Female,Married,Bachelor,Employed,0.46,1685,9,4789000,12.31,48,Home Loan
